"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-01-23T16:19:04.497+08:00[Asia/Shanghai]","0.0","35.4"
"Manage bank account","Add a bank account","SUCCESS","2024-01-23T16:19:43.716+08:00[Asia/Shanghai]","0.0","69.69"
"Manage bank account","Edit a bank account","SUCCESS","2024-01-23T16:20:54.169+08:00[Asia/Shanghai]","0.0","61.48"
"Manage bank account","Search a bank account","SUCCESS","2024-01-23T16:21:56.508+08:00[Asia/Shanghai]","0.0","33.93"
"Manage bank account","Activate a bank account","SUCCESS","2024-01-23T16:22:31.179+08:00[Asia/Shanghai]","0.0","50.87"
"Payments","Manual payment partial","SUCCESS","2024-01-23T16:25:44.661+08:00[Asia/Shanghai]","0.0","195.99"
"Payments","Manual payment with negative amount","SUCCESS","2024-01-23T16:38:11.593+08:00[Asia/Shanghai]","0.0","246.18"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-01-23T16:48:28.813+08:00[Asia/Shanghai]","0.0","129.08"
"Pre registration","Pre logging multi docs","SUCCESS","2024-01-23T16:50:38.667+08:00[Asia/Shanghai]","0.0","200.12"
"Pre registration","Pre logging","SUCCESS","2024-01-23T16:53:59.529+08:00[Asia/Shanghai]","0.0","90.53"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-01-23T16:55:30.845+08:00[Asia/Shanghai]","0.0","101.26"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-01-23T16:59:56.763+08:00[Asia/Shanghai]","0.0","93.47"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2024-01-23T17:01:34.251+08:00[Asia/Shanghai]","0.0","111.55"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-01-23T17:03:26.521+08:00[Asia/Shanghai]","0.0","94.37"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2024-01-23T17:06:37.381+08:00[Asia/Shanghai]","0.0","295.58"
