"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Application of prepayment full","FAILURE","2024-01-23T15:14:46.834+08:00[Asia/Shanghai]","0.0","365.55"
"Payments","Manual payment with negative amount","FAILURE","2024-01-23T15:20:53.101+08:00[Asia/Shanghai]","0.0","249.46"
"Review AP entries","Print payment form","FAILURE","2024-01-23T16:24:30.037+08:00[Asia/Shanghai]","0.0","64.4"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-01-23T16:46:28.691+08:00[Asia/Shanghai]","0.0","47.62"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-01-23T16:47:17.018+08:00[Asia/Shanghai]","0.0","59.02"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-01-23T16:48:16.765+08:00[Asia/Shanghai]","0.0","57.36"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-01-23T16:49:14.904+08:00[Asia/Shanghai]","0.0","45.46"
"Voucher entries","Release retention full","FAILURE","2024-01-23T16:51:14.598+08:00[Asia/Shanghai]","0.0","55.85"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2024-01-23T16:55:40.408+08:00[Asia/Shanghai]","0.0","91.29"
"Voucher entries","Voucher entry export CSV file","FAILURE","2024-01-23T17:35:25.301+08:00[Asia/Shanghai]","0.0","188.01"
