"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-09-18T18:25:07.02+08:00[Asia/Shanghai]","0.0","270.08"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-09-18T18:33:45.838+08:00[Asia/Shanghai]","0.0","135.13"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-09-18T18:36:01.664+08:00[Asia/Shanghai]","0.0","104.78"
"Review AP entries","Edit AP entries","SUCCESS","2023-09-18T18:40:25.943+08:00[Asia/Shanghai]","0.0","132.59"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-09-18T18:42:39.237+08:00[Asia/Shanghai]","0.0","128.05"
"Review AP entries","Search payment","SUCCESS","2023-09-18T18:44:47.956+08:00[Asia/Shanghai]","0.0","31.18"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-09-18T18:46:42.487+08:00[Asia/Shanghai]","0.0","213.28"
"Review AP entries","Print payment form","SUCCESS","2023-09-18T18:50:16.446+08:00[Asia/Shanghai]","0.0","66.43"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-09-18T18:51:23.536+08:00[Asia/Shanghai]","0.0","202.54"
"Review AP entries","Payment information","SUCCESS","2023-09-18T18:54:46.748+08:00[Asia/Shanghai]","0.0","79.18"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-09-18T18:56:06.588+08:00[Asia/Shanghai]","0.0","133.9"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-09-18T18:58:21.2+08:00[Asia/Shanghai]","0.0","196.5"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-09-18T19:01:38.373+08:00[Asia/Shanghai]","0.0","161.8"
