"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-09-26T13:49:14.805+08:00[Asia/Shanghai]","0.0","244.23"
"Payments","Application of prepayment full","ERROR","2023-09-26T13:53:19.802+08:00[Asia/Shanghai]","0.0","220.77"
"Payments","Manual payment with negative amount","ERROR","2023-09-26T13:57:01.247+08:00[Asia/Shanghai]","0.0","243.7"
"Payments","Manual payment with zero payments","ERROR","2023-09-26T14:01:05.659+08:00[Asia/Shanghai]","0.0","428.66"
"Payments","Manual payment full","ERROR","2023-09-26T14:08:14.999+08:00[Asia/Shanghai]","0.0","238.87"
"Redistribution","Voucher match with tolerance","ERROR","2023-09-26T14:36:46.442+08:00[Asia/Shanghai]","0.0","72.44"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-09-26T14:42:24.462+08:00[Asia/Shanghai]","0.0","252.99"
"Review AP entries","Create voucher entry and edit","ERROR","2023-09-26T14:50:49.541+08:00[Asia/Shanghai]","0.0","155.31"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-09-26T14:58:09.229+08:00[Asia/Shanghai]","0.0","77.88"
"Review AP entries","Payment information","ERROR","2023-09-26T15:07:34.382+08:00[Asia/Shanghai]","0.0","301.86"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-09-26T15:29:27.451+08:00[Asia/Shanghai]","0.0","55.02"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-09-26T15:30:23.158+08:00[Asia/Shanghai]","0.0","44.71"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-09-26T15:31:08.533+08:00[Asia/Shanghai]","0.0","47.94"
"Voucher entries","Release retention full","FAILURE","2023-09-26T15:34:01.05+08:00[Asia/Shanghai]","0.0","43.64"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-09-26T15:36:49.886+08:00[Asia/Shanghai]","0.0","86.96"
"Voucher entries","Checking line reference place holder","ERROR","2023-09-26T15:41:05.469+08:00[Asia/Shanghai]","0.0","272.48"
"Voucher entries","Search and post PV","ERROR","2023-09-26T15:45:38.607+08:00[Asia/Shanghai]","0.0","43.89"
"Voucher entries","Voucher entry delete a line","ERROR","2023-09-26T15:46:23.171+08:00[Asia/Shanghai]","0.0","234.09"
"Voucher entries","Voucher match with tax","ERROR","2023-09-26T15:50:17.985+08:00[Asia/Shanghai]","0.0","99.85"
"Voucher entries","Voucher match with retention","ERROR","2023-09-26T15:54:01.428+08:00[Asia/Shanghai]","0.0","106.9"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-09-26T15:55:48.996+08:00[Asia/Shanghai]","0.0","100.38"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-09-26T15:57:30.045+08:00[Asia/Shanghai]","0.0","89.42"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-09-26T16:11:17.302+08:00[Asia/Shanghai]","0.0","366.21"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-09-26T16:17:24.277+08:00[Asia/Shanghai]","0.0","56.39"
"Voucher entries","Partial voucher match with retention","ERROR","2023-09-26T16:18:21.357+08:00[Asia/Shanghai]","0.0","128.88"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-09-26T16:20:30.945+08:00[Asia/Shanghai]","0.0","50.89"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-09-26T16:29:40.058+08:00[Asia/Shanghai]","0.0","56.89"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-09-26T16:30:37.704+08:00[Asia/Shanghai]","0.0","116.79"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-09-26T16:32:35.333+08:00[Asia/Shanghai]","0.0","52.01"
"Voucher entries","Simple voucher match","ERROR","2023-09-26T16:33:28.079+08:00[Asia/Shanghai]","0.0","82.71"
"Voucher entries","Partial matching with rounded tax amount","FAILURE","2023-09-26T16:37:09.728+08:00[Asia/Shanghai]","0.0","128.67"
"Voucher entries","Voucher matching","ERROR","2023-09-26T16:41:42.59+08:00[Asia/Shanghai]","0.0","89.01"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-09-26T16:43:12.303+08:00[Asia/Shanghai]","0.0","234.79"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-09-26T16:52:02.185+08:00[Asia/Shanghai]","0.0","110.93"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-09-26T17:05:22.768+08:00[Asia/Shanghai]","0.0","68.06"
"Inquiry and reports","Order inquiry and update","ERROR","2023-09-26T17:08:12.542+08:00[Asia/Shanghai]","0.0","151.99"
"Working advance","Create working advance entry","ERROR","2023-09-26T17:14:10.258+08:00[Asia/Shanghai]","0.0","100.54"
