"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2023-11-15T18:00:47.652+08:00[Asia/Shanghai]","0.0","51.17"
"Voucher entries","Voucher entry without tax rate","FAILURE","2023-11-15T18:01:39.577+08:00[Asia/Shanghai]","0.0","71.51"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-11-15T18:02:51.826+08:00[Asia/Shanghai]","0.0","55.53"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2023-11-15T18:03:48.095+08:00[Asia/Shanghai]","0.0","66.44"
"Voucher entries","Checking line reference place holder","FAILURE","2023-11-15T18:04:55.281+08:00[Asia/Shanghai]","0.0","71.88"
"Voucher entries","Search and post PV","ERROR","2023-11-15T18:06:07.897+08:00[Asia/Shanghai]","0.0","52.19"
"Voucher entries","Voucher entry delete a line","FAILURE","2023-11-15T18:07:00.825+08:00[Asia/Shanghai]","0.0","69.93"
"Voucher entries","Voucher match with tax","ERROR","2023-11-15T18:08:11.515+08:00[Asia/Shanghai]","0.0","54.84"
"Voucher entries","Partial voucher match","ERROR","2023-11-15T18:09:07.121+08:00[Asia/Shanghai]","0.0","52.88"
"Voucher entries","Voucher match with retention","ERROR","2023-11-15T18:10:00.774+08:00[Asia/Shanghai]","0.0","55.23"
"Voucher entries","Voucher entry import CSV file","FAILURE","2023-11-15T18:10:56.753+08:00[Asia/Shanghai]","0.0","68.91"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-11-15T18:12:06.405+08:00[Asia/Shanghai]","0.0","55.94"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-11-15T18:13:03.089+08:00[Asia/Shanghai]","0.0","52.63"
"Voucher entries","Voucher entry multi docs","FAILURE","2023-11-15T18:13:56.484+08:00[Asia/Shanghai]","0.0","78.55"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-11-15T18:15:15.78+08:00[Asia/Shanghai]","0.0","57.31"
"Voucher entries","Simple prepayment","FAILURE","2023-11-15T18:16:13.821+08:00[Asia/Shanghai]","0.0","64.82"
"Voucher entries","Voucher entry proceed to payment","FAILURE","2023-11-15T18:17:19.38+08:00[Asia/Shanghai]","0.0","70.23"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-11-15T18:18:30.358+08:00[Asia/Shanghai]","0.0","53.67"
"Voucher entries","Partial voucher match with retention","ERROR","2023-11-15T18:19:24.776+08:00[Asia/Shanghai]","0.0","47.12"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-11-15T18:20:12.654+08:00[Asia/Shanghai]","0.0","52.57"
"Voucher entries","Create voucher entry using sustainability accounts","FAILURE","2023-11-15T18:21:06.001+08:00[Asia/Shanghai]","0.0","72.85"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-11-15T18:22:19.578+08:00[Asia/Shanghai]","0.0","52.11"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-11-15T18:23:12.42+08:00[Asia/Shanghai]","0.0","56.75"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-11-15T18:24:09.901+08:00[Asia/Shanghai]","0.0","48.63"
"Voucher entries","Simple voucher match","ERROR","2023-11-15T18:24:59.277+08:00[Asia/Shanghai]","0.0","51.31"
"Voucher entries","Release retention partial","FAILURE","2023-11-15T18:25:51.32+08:00[Asia/Shanghai]","0.0","53.37"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-11-15T18:26:45.477+08:00[Asia/Shanghai]","0.0","47.09"
"Voucher entries","Voucher entry with tax rate rounded","FAILURE","2023-11-15T18:27:33.325+08:00[Asia/Shanghai]","0.0","77.65"
"Voucher entries","Voucher matching","ERROR","2023-11-15T18:28:51.758+08:00[Asia/Shanghai]","0.0","52.32"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-15T18:29:44.835+08:00[Asia/Shanghai]","0.0","60.07"
"Voucher entries","Creating voucher entry","ERROR","2023-11-15T18:30:45.672+08:00[Asia/Shanghai]","0.0","3.15"
"Voucher entries","Release retention adding a line","FAILURE","2023-11-15T18:30:49.872+08:00[Asia/Shanghai]","0.0","59.3"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-11-15T18:31:49.963+08:00[Asia/Shanghai]","0.0","46.38"
"Voucher entries","Voucher entry credit memo","FAILURE","2023-11-15T18:32:37.129+08:00[Asia/Shanghai]","0.0","72.98"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-11-15T18:33:50.928+08:00[Asia/Shanghai]","0.0","52.4"
