"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2023-11-15T17:26:59.094+08:00[Asia/Shanghai]","0.0","73.04"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2023-11-15T17:28:12.855+08:00[Asia/Shanghai]","0.0","75.86"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2023-11-15T17:29:29.493+08:00[Asia/Shanghai]","0.0","72.05"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2023-11-15T17:30:42.273+08:00[Asia/Shanghai]","0.0","69.13"
"Review AP entries","Create voucher entry and edit","FAILURE","2023-11-15T17:31:52.13+08:00[Asia/Shanghai]","0.0","70.1"
"Review AP entries","Edit AP entries","FAILURE","2023-11-15T17:33:02.96+08:00[Asia/Shanghai]","0.0","75.53"
"Review AP entries","Review voucher AP entries","FAILURE","2023-11-15T17:34:19.247+08:00[Asia/Shanghai]","0.0","68.62"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2023-11-15T17:36:04.974+08:00[Asia/Shanghai]","0.0","92.88"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2023-11-15T17:37:38.577+08:00[Asia/Shanghai]","0.0","69.6"
"Review AP entries","Print payment form","ERROR","2023-11-15T17:38:48.904+08:00[Asia/Shanghai]","0.0","60.05"
"Review AP entries","Edit voucher entry line account number","FAILURE","2023-11-15T17:39:49.679+08:00[Asia/Shanghai]","0.0","68.5"
"Review AP entries","Delete voucher AP entry","FAILURE","2023-11-15T17:42:12.349+08:00[Asia/Shanghai]","0.0","71.18"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2023-11-15T17:43:24.267+08:00[Asia/Shanghai]","0.0","68.2"
"Review AP entries","Create voucher entry review and delete","ERROR","2023-11-15T17:44:33.218+08:00[Asia/Shanghai]","0.0","147.83"
