"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2023-11-15T18:00:47.652+08:00[Asia/Shanghai]","0.0","51.17"
"Voucher entries","Voucher entry without tax rate","FAILURE","2023-11-15T18:01:39.577+08:00[Asia/Shanghai]","0.0","71.51"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2023-11-15T18:03:48.095+08:00[Asia/Shanghai]","0.0","66.44"
"Voucher entries","Checking line reference place holder","FAILURE","2023-11-15T18:04:55.281+08:00[Asia/Shanghai]","0.0","71.88"
"Voucher entries","Voucher entry delete a line","FAILURE","2023-11-15T18:07:00.825+08:00[Asia/Shanghai]","0.0","69.93"
"Voucher entries","Voucher entry import CSV file","FAILURE","2023-11-15T18:10:56.753+08:00[Asia/Shanghai]","0.0","68.91"
"Voucher entries","Voucher entry multi docs","FAILURE","2023-11-15T18:13:56.484+08:00[Asia/Shanghai]","0.0","78.55"
"Voucher entries","Simple prepayment","FAILURE","2023-11-15T18:16:13.821+08:00[Asia/Shanghai]","0.0","64.82"
"Voucher entries","Voucher entry proceed to payment","FAILURE","2023-11-15T18:17:19.38+08:00[Asia/Shanghai]","0.0","70.23"
"Voucher entries","Create voucher entry using sustainability accounts","FAILURE","2023-11-15T18:21:06.001+08:00[Asia/Shanghai]","0.0","72.85"
"Voucher entries","Release retention partial","FAILURE","2023-11-15T18:25:51.32+08:00[Asia/Shanghai]","0.0","53.37"
"Voucher entries","Voucher entry with tax rate rounded","FAILURE","2023-11-15T18:27:33.325+08:00[Asia/Shanghai]","0.0","77.65"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-15T18:29:44.835+08:00[Asia/Shanghai]","0.0","60.07"
"Voucher entries","Release retention adding a line","FAILURE","2023-11-15T18:30:49.872+08:00[Asia/Shanghai]","0.0","59.3"
"Voucher entries","Voucher entry credit memo","FAILURE","2023-11-15T18:32:37.129+08:00[Asia/Shanghai]","0.0","72.98"
