"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-11-17T23:11:14.426+08:00[Asia/Shanghai]","0.0","131.9"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-11-17T23:14:19.685+08:00[Asia/Shanghai]","0.0","172.65"
"Voucher entries","Checking line reference place holder","SUCCESS","2023-11-17T23:17:13.072+08:00[Asia/Shanghai]","0.0","197.67"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-11-17T23:21:36.014+08:00[Asia/Shanghai]","0.0","154.25"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-11-17T23:30:11.543+08:00[Asia/Shanghai]","0.0","279.18"
"Voucher entries","Simple prepayment","SUCCESS","2023-11-17T23:35:43.092+08:00[Asia/Shanghai]","0.0","67.79"
"Voucher entries","Voucher entry proceed to payment","SUCCESS","2023-11-17T23:36:51.583+08:00[Asia/Shanghai]","0.0","189.74"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-11-17T23:42:38.867+08:00[Asia/Shanghai]","0.0","361.62"
"Voucher entries","Release retention partial","SUCCESS","2023-11-17T23:52:11.789+08:00[Asia/Shanghai]","0.0","135.31"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-11-17T23:55:18.325+08:00[Asia/Shanghai]","0.0","143.11"
"Voucher entries","Creating voucher entry","SUCCESS","2023-11-18T00:01:31.223+08:00[Asia/Shanghai]","0.0","113.45"
"Voucher entries","Release retention adding a line","SUCCESS","2023-11-18T00:03:25.353+08:00[Asia/Shanghai]","0.0","178.51"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-11-18T00:07:15.982+08:00[Asia/Shanghai]","0.0","126.97"
