"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-11-20T09:42:04.536+08:00[Asia/Shanghai]","0.0","54.12"
"Manage bank account","Add a bank account","SUCCESS","2023-11-20T09:43:09.066+08:00[Asia/Shanghai]","0.0","100.6"
"Manage bank account","Edit a bank account","SUCCESS","2023-11-20T09:44:50.366+08:00[Asia/Shanghai]","0.0","80.44"
"Manage bank account","Search a bank account","SUCCESS","2023-11-20T09:46:11.535+08:00[Asia/Shanghai]","0.0","37.85"
"Manage bank account","Activate a bank account","SUCCESS","2023-11-20T09:46:50.071+08:00[Asia/Shanghai]","0.0","52.08"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-11-20T09:47:42.837+08:00[Asia/Shanghai]","0.0","199.5"
"Payments","Manual payment partial","SUCCESS","2023-11-20T09:51:06.033+08:00[Asia/Shanghai]","0.0","203.19"
"Payments","Manual payment with multiple documents","ERROR","2023-11-20T09:54:30.049+08:00[Asia/Shanghai]","0.0","247.66"
"Payments","Application of prepayment full","FAILURE","2023-11-20T09:58:38.533+08:00[Asia/Shanghai]","0.0","32.56"
"Payments","Manual payment with negative amount","SUCCESS","2023-11-20T09:59:11.788+08:00[Asia/Shanghai]","0.0","244.72"
"Payments","Manual payment with zero payments","SUCCESS","2023-11-20T10:03:17.202+08:00[Asia/Shanghai]","0.0","366.07"
"Payments","Manual payment full","SUCCESS","2023-11-20T10:09:24.056+08:00[Asia/Shanghai]","0.0","208.36"
"Payments","Application of prepayment partial","SUCCESS","2023-11-20T10:12:53.13+08:00[Asia/Shanghai]","0.0","370.14"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-11-20T10:19:09.181+08:00[Asia/Shanghai]","0.0","130.7"
"Pre registration","Pre logging multi docs","SUCCESS","2023-11-20T10:21:20.565+08:00[Asia/Shanghai]","0.0","185.12"
"Pre registration","Pre logging","SUCCESS","2023-11-20T10:24:26.431+08:00[Asia/Shanghai]","0.0","85.5"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-11-20T10:25:52.622+08:00[Asia/Shanghai]","0.0","88.85"
"Pre registration","Pre logging simple","SUCCESS","2023-11-20T10:27:22.153+08:00[Asia/Shanghai]","0.0","60.77"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-11-20T10:28:23.599+08:00[Asia/Shanghai]","0.0","89.28"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-11-20T10:29:54.957+08:00[Asia/Shanghai]","0.0","99.83"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-11-20T10:31:35.472+08:00[Asia/Shanghai]","0.0","95.0"
"Redistribution","Voucher match with tolerance","ERROR","2023-11-20T10:33:11.165+08:00[Asia/Shanghai]","0.0","101.53"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-11-20T10:34:54.041+08:00[Asia/Shanghai]","0.0","282.59"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2023-11-20T10:39:37.393+08:00[Asia/Shanghai]","0.0","241.37"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-11-20T10:43:39.46+08:00[Asia/Shanghai]","0.0","136.57"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-11-20T10:45:56.732+08:00[Asia/Shanghai]","0.0","112.45"
"Review AP entries","Create voucher entry and edit","ERROR","2023-11-20T10:47:49.862+08:00[Asia/Shanghai]","0.0","159.71"
"Review AP entries","Edit AP entries","SUCCESS","2023-11-20T10:50:30.284+08:00[Asia/Shanghai]","0.0","131.9"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-11-20T10:52:42.894+08:00[Asia/Shanghai]","0.0","126.52"
"Review AP entries","Search payment","SUCCESS","2023-11-20T10:54:50.159+08:00[Asia/Shanghai]","0.0","35.28"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-11-20T10:55:26.137+08:00[Asia/Shanghai]","0.0","99.77"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-11-20T10:57:06.61+08:00[Asia/Shanghai]","0.0","219.84"
"Review AP entries","Print payment form","SUCCESS","2023-11-20T11:00:47.152+08:00[Asia/Shanghai]","0.0","71.33"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-11-20T11:01:59.183+08:00[Asia/Shanghai]","0.0","202.38"
"Review AP entries","Payment information","SUCCESS","2023-11-20T11:05:22.256+08:00[Asia/Shanghai]","0.0","74.29"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-11-20T11:06:37.245+08:00[Asia/Shanghai]","0.0","127.56"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-11-20T11:08:45.505+08:00[Asia/Shanghai]","0.0","196.15"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-11-20T11:12:02.386+08:00[Asia/Shanghai]","0.0","157.16"
"Supplier creation","View a supplier","SUCCESS","2023-11-20T11:14:45.834+08:00[Asia/Shanghai]","0.0","54.88"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-20T11:15:41.406+08:00[Asia/Shanghai]","0.0","102.2"
"Supplier creation","Payment terms update","SUCCESS","2023-11-20T11:17:24.331+08:00[Asia/Shanghai]","0.0","107.18"
"Supplier creation","Search a supplier","SUCCESS","2023-11-20T11:19:12.196+08:00[Asia/Shanghai]","0.0","41.25"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-20T11:19:54.141+08:00[Asia/Shanghai]","0.0","56.33"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-20T11:20:51.186+08:00[Asia/Shanghai]","0.0","73.72"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-11-20T11:22:06.162+08:00[Asia/Shanghai]","0.0","83.52"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-20T11:23:30.369+08:00[Asia/Shanghai]","0.0","47.34"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-20T11:24:18.424+08:00[Asia/Shanghai]","0.0","54.63"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-20T11:25:13.78+08:00[Asia/Shanghai]","0.0","48.08"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-20T11:26:02.562+08:00[Asia/Shanghai]","0.0","48.36"
