"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","SUCCESS","2023-11-24T17:53:54.695+08:00[Asia/Shanghai]","0.0","76.1"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-11-24T17:55:11.622+08:00[Asia/Shanghai]","0.0","49.14"
"Batch posting","Batch posting voiding process","SUCCESS","2023-11-24T17:56:01.569+08:00[Asia/Shanghai]","0.0","119.72"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-24T17:58:01.977+08:00[Asia/Shanghai]","0.0","112.85"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2023-11-24T17:59:55.993+08:00[Asia/Shanghai]","0.0","181.88"
"General ledger entries","Create general ledger entry","SUCCESS","2023-11-24T18:02:58.6+08:00[Asia/Shanghai]","0.0","102.88"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-11-24T18:07:28.933+08:00[Asia/Shanghai]","0.0","72.88"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-11-24T18:08:42.617+08:00[Asia/Shanghai]","0.0","49.63"
"Salary advance","Create salary advance entry","SUCCESS","2023-11-24T18:09:33.041+08:00[Asia/Shanghai]","0.0","79.77"
"Working advance","Create working advance entry","SUCCESS","2023-11-24T18:10:53.613+08:00[Asia/Shanghai]","0.0","92.54"
