"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","SUCCESS","2023-11-24T15:15:45.754+08:00[Asia/Shanghai]","0.0","73.55"
"Manage bank account","Edit a bank account","SUCCESS","2023-11-24T15:17:00.06+08:00[Asia/Shanghai]","0.0","86.22"
"Manage bank account","Search a bank account","SUCCESS","2023-11-24T15:18:26.998+08:00[Asia/Shanghai]","0.0","55.49"
"Manage bank account","Activate a bank account","SUCCESS","2023-11-24T15:19:23.223+08:00[Asia/Shanghai]","0.0","49.25"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-11-24T15:20:13.194+08:00[Asia/Shanghai]","0.0","197.78"
"Payments","Manual payment partial","SUCCESS","2023-11-24T15:23:34.083+08:00[Asia/Shanghai]","0.0","203.48"
"Payments","Manual payment with zero payments","SUCCESS","2023-11-24T15:34:36.053+08:00[Asia/Shanghai]","0.0","388.41"
"Payments","Manual payment full","SUCCESS","2023-11-24T15:41:05.175+08:00[Asia/Shanghai]","0.0","214.35"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-11-24T15:45:17.436+08:00[Asia/Shanghai]","0.0","133.81"
"Pre registration","Pre logging multi docs","SUCCESS","2023-11-24T15:47:31.949+08:00[Asia/Shanghai]","0.0","186.76"
"Pre registration","Pre logging","SUCCESS","2023-11-24T15:50:39.414+08:00[Asia/Shanghai]","0.0","88.3"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-11-24T15:52:08.391+08:00[Asia/Shanghai]","0.0","94.1"
"Pre registration","Pre logging simple","SUCCESS","2023-11-24T15:53:43.188+08:00[Asia/Shanghai]","0.0","60.87"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-11-24T15:54:44.751+08:00[Asia/Shanghai]","0.0","95.3"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-11-24T15:56:22.121+08:00[Asia/Shanghai]","0.0","97.23"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-11-24T15:58:00.036+08:00[Asia/Shanghai]","0.0","92.76"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-11-24T16:01:18.262+08:00[Asia/Shanghai]","0.0","266.15"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2023-11-24T16:05:45.118+08:00[Asia/Shanghai]","0.0","252.18"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-11-24T16:09:57.99+08:00[Asia/Shanghai]","0.0","146.38"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-11-24T16:12:25.087+08:00[Asia/Shanghai]","0.0","110.15"
"Review AP entries","Edit AP entries","SUCCESS","2023-11-24T16:17:04.879+08:00[Asia/Shanghai]","0.0","138.42"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-11-24T16:19:24.004+08:00[Asia/Shanghai]","0.0","141.75"
"Review AP entries","Search payment","SUCCESS","2023-11-24T16:21:46.5+08:00[Asia/Shanghai]","0.0","37.33"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-11-24T16:24:10.388+08:00[Asia/Shanghai]","0.0","220.04"
"Review AP entries","Print payment form","SUCCESS","2023-11-24T16:27:51.126+08:00[Asia/Shanghai]","0.0","64.66"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-11-24T16:28:56.479+08:00[Asia/Shanghai]","0.0","194.88"
"Review AP entries","Payment information","SUCCESS","2023-11-24T16:32:12.107+08:00[Asia/Shanghai]","0.0","74.11"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-11-24T16:33:26.9+08:00[Asia/Shanghai]","0.0","125.73"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-11-24T16:35:33.35+08:00[Asia/Shanghai]","0.0","194.32"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-11-24T16:38:48.365+08:00[Asia/Shanghai]","0.0","161.68"
"Supplier creation","View a supplier","SUCCESS","2023-11-24T16:41:36.395+08:00[Asia/Shanghai]","0.0","64.92"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-24T16:42:42.008+08:00[Asia/Shanghai]","0.0","94.84"
"Supplier creation","Payment terms update","SUCCESS","2023-11-24T16:44:17.546+08:00[Asia/Shanghai]","0.0","109.19"
"Supplier creation","Search a supplier","SUCCESS","2023-11-24T16:46:07.478+08:00[Asia/Shanghai]","0.0","44.36"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-24T16:46:52.511+08:00[Asia/Shanghai]","0.0","60.94"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-24T16:47:54.148+08:00[Asia/Shanghai]","0.0","77.25"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-11-24T16:49:12.645+08:00[Asia/Shanghai]","0.0","82.61"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-11-24T16:55:29.44+08:00[Asia/Shanghai]","0.0","130.67"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-11-24T16:58:36.431+08:00[Asia/Shanghai]","0.0","166.29"
"Voucher entries","Checking line reference place holder","SUCCESS","2023-11-24T17:01:23.455+08:00[Asia/Shanghai]","0.0","190.04"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-11-24T17:05:27.857+08:00[Asia/Shanghai]","0.0","150.47"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-11-24T17:13:57.83+08:00[Asia/Shanghai]","0.0","287.05"
"Voucher entries","Simple prepayment","SUCCESS","2023-11-24T17:19:42.427+08:00[Asia/Shanghai]","0.0","69.61"
"Voucher entries","Voucher entry proceed to payment","SUCCESS","2023-11-24T17:20:52.71+08:00[Asia/Shanghai]","0.0","186.48"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-11-24T17:26:25.577+08:00[Asia/Shanghai]","0.0","365.77"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-11-24T17:39:03.858+08:00[Asia/Shanghai]","0.0","143.4"
"Voucher entries","Creating voucher entry","SUCCESS","2023-11-24T17:44:52.883+08:00[Asia/Shanghai]","0.0","109.21"
"Voucher entries","Release retention adding a line","SUCCESS","2023-11-24T17:46:42.78+08:00[Asia/Shanghai]","0.0","182.15"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-11-24T17:50:42.358+08:00[Asia/Shanghai]","0.0","126.02"
